League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Goals_H,Goals_A,Back_Home,Back_Draw,Back_Away,Lay_Home,Lay_Draw,Lay_Away,Lay_0x1,Lay_0x2,Lay_1x0,Lay_0x0,Lay_Gol_H,Lay_Gol_A,Under45,over15,over25,under25,Lay_1x3,Lay_3x1,Lay_0x3,Lay_3x0,Lay_3x2,Lay_2x3
ARMENIA - PREMIER LEAGUE,2024-04-11,09:00:00,Van,Noah,5.0,6.6,1.56,1.65,4.5,5.2,2.18,2.44,1.7,1.84,1.84,1.99,2.02,2.2,3.75,24.0,3.4,12.0,3.25,12.0,3.65,18.5,3.8,27.0,3.55,13.5,3.45,12.5,3.7,19.5,4.1,60.0,3.8,28.0,3.85,28.0,4.0,40.0,4.3,190.0,4.2,95.0,4.2,90.0,4.3,140.0,4.2,100.0,2.96,9.0,4.4,1000.0,33179950,25541480.0,25068897.0,58805.0,1.227395719,1.227395764,1.227395803,1.227395728,0.0,1.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
EGYPT - PREMIER LEAGUE,2024-04-11,11:00:00,Al Masry,Future FC,2.88,3.25,2.66,2.9,3.0,3.25,1.58,1.73,2.38,2.72,2.02,2.16,1.86,1.98,4.7,980.0,4.6,9.8,13.5,980.0,7.4,980.0,8.4,10.5,6.4,7.4,5.7,14.5,7.2,980.0,6.0,980.0,5.9,15.0,6.4,980.0,7.8,980.0,7.4,980.0,7.2,980.0,7.8,980.0,8.4,980.0,7.4,980.0,7.2,980.0,8.6,1000.0,33166486,11162123.0,41860831.0,58805.0,1.227143073,1.227143118,0.0,0.0,1.0,2.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
SLOVENIA - PRVA LIGA,2024-04-11,11:45:00,Koper,Aluminij,1.72,1.85,4.8,5.5,3.85,4.4,1.99,2.18,1.86,2.02,1.84,1.99,2.0,2.18,12.5,19.0,15.5,22.0,5.0,980.0,5.3,980.0,7.8,11.0,7.8,980.0,4.8,25.0,5.1,980.0,9.2,980.0,8.8,980.0,16.5,26.0,5.1,980.0,15.5,22.0,15.0,22.0,5.0,980.0,5.4,980.0,3.85,13.0,5.2,980.0,5.5,1000.0,33171632,166903.0,5664283.0,58805.0,1.227239822,1.227239867,1.227239906,1.227239831,2.0,1.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
FINLAND - VEIKKAUSLIIGA,2024-04-11,12:00:00,HJK,Lahti,1.5,1.52,7.0,7.6,4.7,5.1,2.2,2.44,1.69,1.84,1.87,1.99,2.02,2.16,16.5,19.5,24.0,29.0,46.0,65.0,12.5,250.0,8.4,9.8,9.8,11.0,23.0,27.0,12.0,110.0,8.4,9.6,9.0,9.6,20.0,23.0,12.0,100.0,12.5,14.0,13.5,15.5,28.0,34.0,12.0,130.0,5.5,7.4,12.0,120.0,32.0,1000.0,33171564,6390.0,139506.0,58805.0,1.227234613,1.227234658,1.227234697,1.227234622,4.0,0.0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
BULGARIA - PARVA LIGA,2024-04-11,12:45:00,CSKA 1948 Sofia,Ludogorets,8.0,10.5,1.42,1.48,4.7,5.3,2.02,2.28,1.79,1.98,2.06,2.26,1.79,1.94,5.5,980.0,7.0,8.8,7.0,8.8,10.5,980.0,6.0,980.0,9.2,980.0,8.2,980.0,5.5,980.0,7.0,980.0,6.4,980.0,6.0,980.0,6.4,980.0,7.4,1000.0,7.2,1000.0,7.2,980.0,7.4,1000.0,7.4,1000.0,3.85,7.8,7.6,1000.0,33174307,20732043.0,5112599.0,58805.0,1.227294947,0.0,0.0,0.0,0.0,1.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
BULGARIA - PARVA LIGA,2024-05-26,12:00:00,CSKA 1948 Sofia,Ludogorets,2.26,2.64,2.8,3.3,3.6,4.8,2.24,2.88,1.53,1.81,1.51,1.71,2.4,2.98,1.58,980.0,1.46,980.0,2.28,980.0,3.1,1000.0,1.45,980.0,4.0,980.0,2.42,980.0,5.3,980.0,3.4,980.0,4.0,980.0,2.88,980.0,8.2,1000.0,3.0,1000.0,4.6,980.0,15.0,980.0,1.58,1000.0,1.43,980.0,1.47,980.0,6.6,1000.0,33296209,21868583.0,5112599.0,58805.0,1.229251562,1.229251607,1.229251646,1.229251571,0.0,1.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
BULGARIA - PARVA LIGA,2024-09-18,11:30:00,CSKA 1948 Sofia,Ludogorets,8.0,8.4,1.48,1.53,4.4,5.0,1.96,2.04,1.97,2.06,2.16,2.4,1.72,1.87,13.0,15.0,6.4,7.4,7.2,8.4,11.0,13.0,22.0,30.0,9.0,10.0,9.2,10.0,15.5,17.5,12.5,70.0,27.0,38.0,25.0,29.0,34.0,46.0,13.0,980.0,14.0,150.0,14.0,140.0,130.0,980.0,12.5,200.0,7.8,8.8,15.5,1000.0,33593199,1255221.0,5112599.0,58805.0,1.233086431,1.233086476,1.233086515,1.23308644,0.0,1.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
ROMANIA - LIGA 2,2024-04-11,13:00:00,Gloria Buzau,Selimbar,1.32,1.99,2.78,990.0,2.5,330.0,1.27,26.0,1.04,4.6,1.14,110.0,1.14,9.4,1.32,980.0,1.1,980.0,1.1,1000.0,2.94,1000.0,1.1,980.0,1.1,980.0,1.1,980.0,4.9,1000.0,1.1,1000.0,1.1,980.0,5.3,980.0,7.8,1000.0,1.1,1000.0,3.95,1000.0,7.0,1000.0,20.0,1000.0,1.01,1000.0,1.55,1000.0,1.1,1000.0,33178319,2487031.0,48459989.0,58805.0,1.227373396,1.227373441,1.22737348,1.227373405,0.0,0.0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1
EGYPT - PREMIER LEAGUE,2024-04-11,14:00:00,ZED,Al Ahly,6.8,8.8,1.54,1.59,4.0,4.5,1.78,1.97,2.04,2.3,2.08,2.46,1.68,1.92,11.0,15.5,6.4,7.8,7.2,9.0,12.0,16.5,18.0,26.0,8.4,10.5,8.8,12.5,15.0,23.0,5.1,980.0,23.0,38.0,21.0,36.0,5.1,980.0,5.4,980.0,5.3,980.0,5.3,980.0,5.4,980.0,5.3,980.0,3.65,11.0,5.6,1000.0,33177315,38208152.0,4768314.0,58805.0,1.227352398,1.227352443,1.227352482,1.227352407,0.0,1.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
EGYPT - PREMIER LEAGUE,2024-04-11,14:00:00,Zamalek,Al Ittihad,2.0,2.08,4.1,4.6,3.5,3.85,1.86,2.0,2.0,2.18,1.86,1.99,2.0,2.16,11.0,14.0,13.0,16.0,6.0,980.0,7.0,980.0,8.0,9.4,7.4,9.0,14.5,19.5,6.6,980.0,9.6,13.0,9.0,11.5,15.5,980.0,6.8,980.0,18.5,980.0,6.0,980.0,6.4,980.0,7.0,980.0,5.2,17.0,6.6,980.0,7.4,1000.0,33169767,5174134.0,7023879.0,58805.0,1.227192784,1.227192829,1.227192868,1.227192793,3.0,0.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
