Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,rompfk9L,21/07/2024,00:05,MEXICO - LIGA MX,Cruz Azul,Toluca,APERTURA ,1.91,4.0,3.4,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,2.38,1.53,4.0,1.22,1.53,2.38,1.98,1.88,1.33,3.3,17.0,15.0,21.0,41.0,10.0,8.0,12.0,23.0,11.0,8.5,13.0,26.0,17.0,13.0,21.0,41.0,126.0
2,lnfydBv9,21/07/2024,00:10,MEXICO - LIGA MX,Juarez,Club America,APERTURA ,3.4,3.4,2.2,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.9,3.25,1.33,6.5,1.11,1.75,2.0,3.3,1.33,1.7,2.1,10.0,8.0,11.0,21.0,11.0,6.5,9.0,17.0,17.0,12.0,13.0,26.0,34.0,26.0,34.0,41.0,201.0
3,SznIPm1R,21/07/2024,07:00,SOUTH KOREA - K LEAGUE 1,Daegu,Gwangju FC,ROUND 24,2.75,3.3,2.5,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.98,3.0,1.36,6.0,1.13,1.67,2.1,2.68,1.45,1.53,2.43,11.0,9.5,13.0,23.0,10.0,6.5,10.0,19.0,15.0,10.0,13.0,26.0,29.0,21.0,29.0,41.0,151.0
4,O6XmKROl,21/07/2024,07:00,SOUTH KOREA - K LEAGUE 1,Daejeon,Pohang,ROUND 24,3.5,3.5,2.05,1.4,2.75,1.05,11.0,1.29,3.5,1.93,1.93,3.25,1.33,6.5,1.11,1.73,2.0,3.45,1.3,1.83,2.03,11.0,8.0,10.0,19.0,11.0,6.5,9.0,17.0,19.0,12.0,15.0,26.0,41.0,29.0,34.0,41.0,201.0
5,nPUKQToL,21/07/2024,07:00,SOUTH KOREA - K LEAGUE 1,Incheon,Suwon FC,ROUND 24,2.63,3.2,2.7,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.9,3.25,1.33,6.5,1.11,1.73,2.0,2.6,1.48,1.48,2.6,10.0,9.5,13.0,26.0,9.0,6.0,10.0,21.0,13.0,10.0,13.0,29.0,26.0,21.0,29.0,41.0,201.0
6,UqYqL79r,21/07/2024,07:00,SOUTH KOREA - K LEAGUE 1,Seoul,Gimcheon Sangmu,ROUND 24,2.35,3.4,2.9,1.36,3.0,1.05,11.0,1.29,3.5,1.93,1.93,3.25,1.33,6.5,1.11,1.67,2.1,2.3,1.6,1.4,2.85,11.0,10.0,15.0,29.0,9.0,6.5,11.0,23.0,12.0,9.5,13.0,29.0,23.0,19.0,26.0,41.0,151.0
7,E1Pcag7L,21/07/2024,07:00,SOUTH KOREA - K LEAGUE 2,Asan,Ansan Greeners,ROUND 23,1.65,3.8,4.75,1.33,3.25,1.04,13.0,1.25,3.75,1.8,2.0,3.0,1.36,5.5,1.14,1.8,1.91,1.63,2.25,1.18,4.65,12.0,15.0,26.0,51.0,7.5,7.5,15.0,41.0,8.0,8.5,15.0,41.0,13.0,13.0,23.0,51.0,201.0
8,0bLg0ZiF,21/07/2024,07:00,SOUTH KOREA - K LEAGUE 2,Gimpo FC,Anyang,ROUND 23,3.5,3.25,2.05,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,3.75,1.25,9.0,1.07,1.91,1.8,3.45,1.3,1.73,2.08,8.5,6.5,9.5,19.0,9.5,6.5,9.0,19.0,17.0,13.0,17.0,29.0,41.0,29.0,41.0,51.0,351.0
9,8OO1bDMR,21/07/2024,07:00,SOUTH KOREA - K LEAGUE 2,Seoul E-Land,Cheonan City,ROUND 23,1.57,3.8,5.75,1.36,3.0,1.05,11.0,1.25,3.75,1.85,1.95,3.25,1.33,6.0,1.13,1.83,1.83,1.6,2.3,1.17,5.0,11.0,15.0,29.0,51.0,7.0,7.5,17.0,41.0,7.5,8.5,17.0,41.0,12.0,13.0,26.0,51.0,301.0
10,lCoZ3Svo,21/07/2024,07:00,CHINA - SUPER LEAGUE,Qingdao West Coast,Meizhou Hakka,ROUND 24,1.8,3.7,4.33,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,2.63,1.44,5.0,1.17,1.67,2.1,1.8,2.05,1.23,4.0,13.0,15.0,23.0,41.0,8.5,7.0,15.0,34.0,9.5,8.5,13.0,34.0,15.0,13.0,21.0,41.0,151.0
11,djM2jxR6,21/07/2024,07:00,POLAND - DIVISION 1,Wisla Plock,Kotwica Kolobrzeg,ROUND 1,1.33,4.1,7.5,1.3,3.4,1.04,13.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.91,1.8,1.38,3.0,,,12.0,21.0,41.0,101.0,7.5,9.0,23.0,51.0,6.5,9.0,19.0,51.0,9.0,12.0,26.0,51.0,301.0
12,ADGL7paS,21/07/2024,08:00,SWEDEN - SUPERETTAN,Ostersund,Degerfors,ROUND 15,2.55,3.5,2.55,1.33,3.25,1.04,13.0,1.22,4.0,1.78,2.1,2.75,1.4,5.5,1.14,1.62,2.2,2.5,1.5,1.5,2.5,13.0,10.0,13.0,26.0,10.0,7.0,10.0,19.0,13.0,10.0,13.0,26.0,26.0,19.0,26.0,41.0,151.0
13,n3a788WT,21/07/2024,08:00,CHINA - SUPER LEAGUE,Nantong Zhiyun,Shandong Taishan,ROUND 24,7.0,4.75,1.4,1.29,3.5,1.03,15.0,1.18,4.5,1.6,2.3,2.5,1.5,4.33,1.2,1.8,1.95,6.6,1.11,2.85,1.4,15.0,8.0,7.5,10.0,21.0,9.0,8.0,11.0,41.0,21.0,17.0,21.0,81.0,51.0,41.0,51.0,201.0
