Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,MVrBYNSR,16/08/2023,00:05,MEXICO - LIGA DE EXPANSION MX,Dorados de Sinaloa,Zacatecas Mineros,APERTURA ,3.96,4.1,1.75,1.25,3.7,1.02,13.4,1.12,5.05,1.45,2.48,2.23,1.65,3.56,1.23,1.47,2.6,,,,,13.0,8.5,9.0,13.0,13.0,6.5,6.5,10.0,20.0,10.0,9.5,13.0,41.0,21.0,21.0,31.0,176.0
2,h0dMG2AM,16/08/2023,12:30,QATAR - QSL,Al Wakra,Muaither SC,ROUND 1,1.6,4.2,4.84,1.29,3.4,1.01,14.0,1.16,4.33,1.62,2.29,2.42,1.47,4.25,1.17,1.63,2.22,,,,,13.0,15.0,26.0,61.0,7.0,6.5,13.0,31.0,7.0,6.5,11.0,31.0,10.0,9.0,15.0,41.0,201.0
3,fkbXV8XC,16/08/2023,14:00,PORTUGAL - LIGA PORTUGAL 2,Santa Clara,Torreense,ROUND 1,1.73,3.5,4.5,1.4,2.75,1.06,10.0,1.3,3.4,2.03,1.83,3.5,1.29,7.0,1.1,1.83,1.83,1.73,2.08,1.2,4.4,9.5,12.0,23.0,51.0,6.5,7.0,15.0,41.0,8.0,8.5,17.0,41.0,13.0,15.0,29.0,51.0,301.0
4,zPoRFMPS,16/08/2023,14:30,QATAR - QSL,Al Arabi,Shamal,ROUND 1,1.32,5.2,8.35,1.27,3.54,1.01,14.7,1.14,4.55,1.57,2.4,2.32,1.51,3.96,1.19,1.84,1.92,,,,,14.0,23.0,46.0,151.0,6.5,8.5,21.0,67.0,5.5,6.5,15.0,71.0,7.0,8.0,17.0,61.0,201.0
5,jNnggXxC,16/08/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Nueva Chicago,San Martin S.J.,ROUND 29,2.1,3.0,4.0,1.62,2.2,1.13,6.0,1.53,2.38,2.7,1.44,5.5,1.14,13.0,1.04,2.25,1.57,2.05,1.75,1.26,3.7,6.0,8.0,19.0,41.0,5.5,6.0,15.0,41.0,8.0,10.0,21.0,51.0,19.0,21.0,41.0,81.0,201.0
6,8bclfDN5,16/08/2023,17:00,ARGENTINA - PRIMERA NACIONAL,San Martin T.,Defensores Unidos,ROUND 29,1.62,3.5,6.5,1.62,2.2,1.13,6.0,1.57,2.25,2.88,1.4,6.0,1.13,15.0,1.03,2.75,1.4,1.6,2.3,1.13,5.9,6.0,10.0,29.0,81.0,4.33,7.5,23.0,67.0,6.0,10.0,29.0,81.0,11.0,19.0,51.0,151.0,201.0
7,lKwMPDPt,16/08/2023,17:15,PERU - LIGA 1,ADT Tarma,U. de Deportes,CLAUSURA ,3.25,3.25,2.25,1.44,2.63,1.06,10.0,1.33,3.25,2.08,1.73,3.75,1.25,8.0,1.08,1.8,1.91,3.1,1.35,1.65,2.2,9.0,7.5,10.0,21.0,9.5,6.0,9.5,19.0,15.0,12.0,15.0,29.0,34.0,26.0,34.0,51.0,251.0
8,A7HPnDVo,16/08/2023,17:30,ARGENTINA - PRIMERA NACIONAL,Deportivo Moron,Club A. Guemes,ROUND 29,1.83,3.5,4.33,1.57,2.25,1.11,6.5,1.53,2.38,2.6,1.48,5.5,1.14,13.0,1.04,2.38,1.53,1.83,2.03,1.21,4.25,6.5,8.5,21.0,51.0,5.0,7.0,17.0,41.0,7.0,9.5,23.0,51.0,15.0,19.0,41.0,101.0,201.0
9,rsHqkHDp,16/08/2023,18:00,DOMINICAN REPUBLIC - LDF,Moca,Atlantico,WINNERS STAGE ,2.03,3.16,3.71,1.51,2.39,1.06,7.5,1.43,2.54,2.42,1.55,4.45,1.15,9.0,1.03,2.04,1.74,,,,,6.5,9.5,19.0,67.0,5.0,6.0,13.0,41.0,7.0,7.5,15.0,61.0,13.0,15.0,31.0,67.0,67.0
10,bkaWCK5i,16/08/2023,18:00,DOMINICAN REPUBLIC - LDF,Vega Real,Universidad O&M,WINNERS STAGE ,2.31,3.04,3.15,1.53,2.34,1.06,7.2,1.46,2.45,2.52,1.51,4.65,1.14,10.0,1.02,2.04,1.74,,,,,6.0,7.5,13.0,36.0,6.0,5.5,11.0,26.0,9.0,8.5,13.0,46.0,17.0,17.0,31.0,67.0,67.0
