Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,x658DfkI,04/09/2023,07:00,ROMANIA - LIGA 1,U. Cluj,Poli Iasi,ROUND 8,1.73,3.5,4.33,1.44,2.63,1.06,10.0,1.36,3.0,2.1,1.7,3.75,1.25,8.0,1.08,2.0,1.73,1.78,2.1,1.21,4.25,9.0,11.0,21.0,51.0,6.5,7.0,15.0,41.0,7.5,8.5,19.0,41.0,13.0,15.0,29.0,51.0,351.0
2,CC1d8O1K,04/09/2023,11:00,NORTH MACEDONIA - 1. MFL,Struga,Tikves,ROUND 6,1.62,3.55,5.3,1.39,2.55,1.02,10.0,1.27,3.1,1.78,1.82,2.82,1.33,5.8,1.1,1.78,1.83,,,,,9.5,13.0,23.0,76.0,5.5,6.5,15.0,51.0,6.5,7.0,13.0,61.0,10.0,12.0,21.0,76.0,101.0
3,tvCaFGK5,04/09/2023,12:30,ROMANIA - LIGA 1,FC Botosani,FC Hermannstadt,ROUND 8,3.0,3.0,2.3,1.57,2.25,1.1,7.0,1.5,2.5,2.5,1.5,5.0,1.17,13.0,1.04,2.1,1.67,3.0,1.38,1.55,2.38,6.5,6.0,10.0,23.0,7.5,6.0,10.0,23.0,13.0,12.0,19.0,41.0,34.0,29.0,41.0,67.0,201.0
4,Igl7jdIE,04/09/2023,14:00,SERBIA - SUPER LIGA,Zeleznicar Pancevo,Cukaricki,ROUND 6,2.92,3.45,2.25,1.42,2.65,1.06,7.2,1.32,3.1,1.95,1.75,3.3,1.29,5.7,1.1,1.8,1.91,,,1.62,2.2,9.0,8.0,11.0,21.0,9.0,6.0,9.0,19.0,14.0,10.0,12.0,26.0,31.0,23.0,31.0,61.0,201.0
5,l6bIl11G,04/09/2023,15:00,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Zrinjski,Siroki Brijeg,ROUND 6,1.44,4.15,6.5,1.4,2.52,1.01,11.8,1.24,3.25,1.72,1.88,2.7,1.36,4.8,1.14,1.9,1.72,,,,,10.0,15.0,36.0,101.0,5.5,7.0,18.0,61.0,5.5,6.5,15.0,61.0,7.5,9.0,21.0,81.0,201.0
6,jw5p6p5i,04/09/2023,15:00,CANADA - CANADIAN PREMIER LEAGUE,HFX Wanderers,York Utd,-,2.15,3.6,3.05,1.39,2.85,1.05,8.25,1.28,3.45,1.83,1.9,3.0,1.35,5.3,1.13,1.72,2.02,2.15,1.72,1.45,2.77,9.5,9.5,15.0,34.0,7.0,6.0,10.0,21.0,9.0,7.5,11.0,26.0,15.0,13.0,21.0,46.0,101.0
7,AJ3GBYJU,04/09/2023,15:30,ROMANIA - LIGA 1,Sepsi Sf. Gheorghe,UTA Arad,ROUND 8,1.7,3.3,4.75,1.44,2.63,1.07,9.0,1.36,3.0,2.2,1.65,4.0,1.22,9.0,1.07,2.1,1.67,1.78,2.03,1.2,4.4,8.0,11.0,23.0,51.0,6.0,7.0,17.0,41.0,7.5,9.0,19.0,51.0,13.0,15.0,34.0,67.0,351.0
8,bJ8FFFlG,04/09/2023,15:45,ITALY - SERIE C,Triestina,Trento,GROUP A ,2.02,3.0,3.95,1.57,2.25,1.11,5.6,1.5,2.42,2.42,1.5,4.35,1.17,7.6,1.05,2.1,1.65,1.98,1.78,,,5.5,7.0,14.0,41.0,5.0,5.0,11.0,34.0,7.5,7.5,14.0,51.0,15.0,17.0,31.0,91.0,201.0
9,4d9BGeZ9,04/09/2023,15:45,ITALY - SERIE C,Pro Vercelli,Lumezzane,GROUP A ,2.1,3.15,3.5,1.47,2.5,1.08,6.5,1.36,2.9,2.05,1.7,3.5,1.26,6.1,1.09,1.83,1.87,2.05,1.72,,,7.0,8.5,14.0,36.0,6.0,5.0,10.0,23.0,8.0,7.0,12.0,34.0,15.0,14.0,23.0,56.0,201.0
10,8UF2IH4c,04/09/2023,15:45,ITALY - SERIE C,Pergolettese,Pro Sesto,GROUP A ,2.07,3.05,3.65,1.55,2.32,1.1,5.9,1.44,2.6,2.3,1.55,4.0,1.2,7.0,1.07,1.98,1.75,2.05,1.72,,,6.5,7.5,13.0,36.0,5.5,5.0,9.5,26.0,8.0,7.5,12.0,36.0,17.0,15.0,26.0,76.0,201.0
