Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,K2SYm26e,24/10/2023,09:00,ARMENIA - PREMIER LEAGUE,Ararat-Armenia,West Armenia,ROUND 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2RHwmML1,24/10/2023,11:00,ARMENIA - PREMIER LEAGUE,Ararat Yerevan,Van,ROUND 13,1.75,3.35,4.15,1.45,2.42,1.03,8.0,1.33,2.93,2.0,1.65,3.65,1.22,7.1,1.05,1.93,1.83,,,,,8.5,8.5,17.5,50.0,5.3,5.7,11.75,35.0,6.6,7.1,14.0,40.0,11.25,12.0,24.0,65.0,600.0
3,xYRJ4kkR,24/10/2023,11:00,ROMANIA - LIGA 2,FC Arges,CSM Slatina,ROUND 10,1.65,3.6,5.2,1.47,2.52,1.07,6.7,1.35,2.95,2.05,1.72,3.45,1.26,6.1,1.09,2.02,1.72,1.62,2.2,,,6.7,12.5,30.0,100.0,5.8,7.0,17.0,60.0,6.9,8.25,18.5,65.0,11.75,14.5,32.0,100.0,1000.0
4,dpVeHs6f,24/10/2023,13:00,POLAND - EKSTRAKLASA,Lech Poznan,Jagiellonia,ROUND 4,1.55,4.0,5.75,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,2.75,1.4,5.5,1.14,1.8,1.95,1.53,2.43,1.14,5.75,12.0,17.0,29.0,67.0,7.5,7.5,19.0,41.0,7.5,8.5,15.0,41.0,11.0,12.0,23.0,51.0,201.0
5,vV7L4Dhl,24/10/2023,13:30,ITALY - SERIE C,Alessandria,Pergolettese,GROUP A ,3.05,3.1,2.35,1.57,2.3,1.11,5.7,1.5,2.42,2.42,1.5,4.4,1.17,7.6,1.05,2.1,1.65,,,1.57,2.3,5.7,6.2,10.0,23.0,7.1,6.0,9.75,23.0,13.5,11.75,18.5,45.0,37.0,32.0,50.0,120.0,201.0
6,ADb15pqa,24/10/2023,13:30,ITALY - SERIE C,Pro Sesto,Virtus Verona,GROUP A ,3.25,2.92,2.32,1.6,2.25,1.11,5.5,1.5,2.42,2.42,1.5,4.4,1.17,7.6,1.05,2.05,1.7,,,1.6,2.27,5.5,6.0,10.0,24.0,7.4,5.8,9.75,23.0,15.0,12.0,17.5,40.0,45.0,35.0,50.0,110.0,201.0
7,Sl9d6QTh,24/10/2023,13:30,ITALY - SERIE C,Pro Patria,Trento,GROUP A ,2.25,3.1,3.2,1.57,2.32,1.1,5.8,1.47,2.5,2.37,1.52,4.25,1.18,7.4,1.06,2.05,1.7,2.15,1.65,,,5.8,7.6,15.0,45.0,6.1,6.0,12.0,35.0,9.5,9.5,18.0,55.0,21.0,21.0,40.0,110.0,1000.0
8,6sax1ViD,24/10/2023,13:30,ITALY - SERIE C,Legnago Salus,Triestina,GROUP A ,3.6,3.15,2.07,1.55,2.35,1.1,5.9,1.45,2.57,2.3,1.55,4.1,1.2,7.1,1.06,2.05,1.7,,,1.75,2.02,5.9,6.0,8.75,18.5,8.25,6.1,9.0,19.0,17.0,13.0,18.0,37.0,50.0,40.0,55.0,110.0,800.0
9,Sj0Y1Bx7,24/10/2023,13:30,ITALY - SERIE C,Giana Erminio,AlbinoLeffe,GROUP A ,2.27,3.05,3.2,1.57,2.3,1.11,5.7,1.5,2.42,2.42,1.5,4.4,1.17,7.6,1.05,2.1,1.65,2.22,1.62,,,5.7,7.4,14.5,40.0,5.9,6.0,12.0,35.0,9.5,9.75,18.5,55.0,22.0,23.0,45.0,120.0,1000.0
10,MgcQ3X7f,24/10/2023,13:30,ITALY - SERIE C,Arzignano,Lumezzane,GROUP A ,2.37,3.0,3.1,1.6,2.27,1.11,5.6,1.5,2.42,2.42,1.5,4.4,1.17,7.6,1.05,2.05,1.7,2.3,1.57,,,5.6,7.1,14.0,40.0,6.2,5.9,11.75,35.0,10.25,9.75,17.5,50.0,24.0,23.0,40.0,110.0,1000.0
11,YstUTKgM,24/10/2023,14:00,SWEDEN - SUPERETTAN,Utsikten,Oster,ROUND 27,3.0,3.6,2.2,1.33,3.25,1.03,15.0,1.2,4.33,1.7,2.1,2.63,1.44,5.0,1.17,1.57,2.25,2.85,1.4,1.63,2.25,13.0,10.0,12.0,21.0,12.0,7.0,9.0,17.0,17.0,11.0,12.0,23.0,34.0,21.0,26.0,41.0,151.0
12,0hlHWM93,24/10/2023,14:00,SWEDEN - SUPERETTAN,Orebro,Sundsvall,ROUND 27,1.62,3.8,5.25,1.29,3.5,1.03,15.0,1.18,4.5,1.62,2.25,2.5,1.5,4.33,1.2,1.67,2.1,1.63,2.25,1.18,4.8,15.0,17.0,29.0,51.0,9.0,7.5,17.0,41.0,9.0,8.5,13.0,41.0,13.0,12.0,21.0,41.0,151.0
13,jP7uPDYr,24/10/2023,15:00,LIECHTENSTEIN - LIECHTENSTEIN CUP,Ruggell B,Triesenberg,QUARTER-FINALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
