Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,fX8tO4L0,26/12/2023,08:00,VIETNAM - V.LEAGUE 1,Khanh Hoa,Song Lam Nghe An,ROUND 8,2.67,3.3,2.42,1.44,2.42,1.03,8.0,1.35,2.72,2.02,1.62,3.35,1.23,7.1,1.05,1.82,1.78,,,,,8.75,7.4,11.25,25.0,7.8,6.4,9.75,21.0,12.5,10.25,15.5,35.0,30.0,24.0,37.0,80.0,700.0
2,SbMmMrjD,26/12/2023,09:15,VIETNAM - V.LEAGUE 1,Ho Chi Minh,Hong Linh Ha Tinh,ROUND 8,1.93,3.3,3.7,1.47,2.32,1.05,7.2,1.39,2.55,2.15,1.55,3.6,1.2,8.2,1.03,1.98,1.65,1.9,1.82,,,7.9,8.75,18.0,55.0,5.9,6.5,13.5,40.0,8.25,9.0,18.5,55.0,16.0,17.5,37.0,110.0,900.0
3,l8NqNOz7,26/12/2023,09:15,VIETNAM - V.LEAGUE 1,Cong An,Binh Duong,ROUND 8,1.78,3.35,4.4,1.42,2.45,1.02,8.7,1.31,2.87,1.93,1.7,3.1,1.27,6.35,1.07,1.82,1.78,1.8,1.9,,,9.0,11.75,25.0,75.0,6.3,6.6,14.5,45.0,7.8,8.25,15.5,50.0,14.0,15.0,29.0,80.0,700.0
4,QXbzurdP,26/12/2023,09:30,ENGLAND - LEAGUE TWO,Mansfield,Grimsby,ROUND 24,1.5,4.33,6.5,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,2.63,1.44,5.0,1.17,1.8,1.91,1.48,2.6,1.13,5.9,13.0,19.0,34.0,67.0,7.5,8.0,19.0,41.0,7.5,8.5,17.0,41.0,11.0,12.0,23.0,51.0,251.0
5,4WgMApI4,26/12/2023,09:30,ENGLAND - CHAMPIONSHIP,Preston,Leeds,ROUND 24,5.75,4.0,1.6,1.33,3.25,1.05,11.0,1.25,4.0,1.8,2.0,3.0,1.4,5.5,1.14,1.8,1.91,5.5,1.15,2.38,1.55,12.0,7.5,7.5,12.0,15.0,7.5,8.5,13.0,29.0,17.0,17.0,23.0,51.0,41.0,41.0,51.0,251.0
6,vqqlmjRL,26/12/2023,09:30,ENGLAND - PREMIER LEAGUE,Newcastle,Nottingham,ROUND 19,1.45,4.75,6.0,1.33,3.25,1.04,13.0,1.25,4.0,1.75,2.05,3.0,1.4,5.5,1.14,1.95,1.8,1.45,2.68,1.13,5.9,13.0,17.0,41.0,81.0,7.5,9.5,21.0,51.0,7.5,9.0,21.0,51.0,11.0,13.0,29.0,67.0,451.0
7,8WU7RrXk,26/12/2023,09:30,BELGIUM - JUPILER PRO LEAGUE,Genk,Antwerp,ROUND 20,2.15,3.5,3.3,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,2.5,1.5,4.5,1.18,1.53,2.38,2.1,1.7,1.35,3.1,15.0,13.0,19.0,34.0,10.0,7.0,12.0,23.0,12.0,9.0,11.0,26.0,21.0,15.0,21.0,34.0,126.0
8,APGmHv4I,26/12/2023,10:00,ENGLAND - LEAGUE TWO,Gillingham,Crawley,ROUND 24,2.0,3.6,3.6,1.36,3.0,1.05,11.0,1.25,3.75,1.85,2.0,3.0,1.36,6.0,1.13,1.73,2.0,1.98,1.88,1.28,3.55,11.0,11.0,19.0,41.0,8.0,6.5,12.0,29.0,10.0,8.5,13.0,34.0,17.0,15.0,26.0,41.0,201.0
9,M74HBQ2b,26/12/2023,10:00,ENGLAND - CHAMPIONSHIP,Millwall,QPR,ROUND 24,2.15,3.2,3.6,1.5,2.5,1.08,7.5,1.44,2.75,2.35,1.57,4.5,1.2,10.0,1.06,2.0,1.73,2.1,1.7,1.3,3.45,7.5,8.5,17.0,41.0,6.5,6.0,13.0,34.0,9.0,9.5,17.0,41.0,19.0,21.0,34.0,67.0,451.0
10,Ak0lISh3,26/12/2023,10:00,ENGLAND - LEAGUE ONE,Leyton Orient,Charlton,ROUND 24,2.55,3.5,2.7,1.36,3.0,1.04,13.0,1.25,3.75,1.83,2.03,3.0,1.36,6.0,1.13,1.67,2.1,2.43,1.53,1.48,2.6,12.0,10.0,15.0,26.0,9.5,6.5,10.0,21.0,13.0,10.0,13.0,26.0,23.0,19.0,26.0,41.0,151.0
11,M7OSq5ol,26/12/2023,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Newington,Ballyclare,ROUND 22,2.37,3.65,2.52,1.24,3.6,1.01,12.0,1.14,4.9,1.45,2.37,2.07,1.6,3.25,1.25,1.42,2.47,,,,,17.0,13.0,16.5,30.0,13.5,7.8,9.75,18.0,16.0,9.5,11.0,20.0,28.0,16.5,19.0,32.0,175.0
12,SpPOpoWs,26/12/2023,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Knockbreda,Institute,ROUND 22,5.4,4.65,1.45,1.22,3.8,1.01,14.0,1.14,4.9,1.42,2.47,2.0,1.65,3.1,1.27,1.57,2.12,,,,,19.0,10.25,8.75,11.0,21.0,9.75,8.5,10.5,37.0,17.5,15.0,19.0,100.0,45.0,40.0,50.0,300.0
13,WUyzu4g5,26/12/2023,11:30,INDIA - ISL,Punjab,Odisha FC,-,3.5,3.4,1.95,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,2.63,1.44,5.0,1.17,1.62,2.2,3.45,1.3,1.8,2.0,13.0,9.0,11.0,19.0,13.0,7.0,9.0,15.0,21.0,13.0,12.0,23.0,41.0,26.0,29.0,41.0,151.0
14,OSKiGbJO,26/12/2023,12:00,ENGLAND - LEAGUE TWO,Harrogate,Accrington,ROUND 24,2.9,3.4,2.38,1.36,3.0,1.05,11.0,1.25,3.75,1.85,2.0,3.0,1.36,6.0,1.13,1.62,2.2,2.85,1.4,1.6,2.3,12.0,9.0,12.0,23.0,11.0,6.5,9.5,19.0,15.0,11.0,13.0,26.0,29.0,21.0,29.0,41.0,151.0
15,Sto2z24t,26/12/2023,12:00,ENGLAND - LEAGUE TWO,MK Dons,Colchester,ROUND 24,1.62,4.0,5.25,1.3,3.4,1.03,15.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.73,2.0,1.6,2.3,1.17,5.0,13.0,15.0,29.0,51.0,8.0,7.5,15.0,41.0,8.5,8.5,15.0,41.0,13.0,12.0,21.0,41.0,201.0
16,xCIuJ0Z5,26/12/2023,12:00,ENGLAND - LEAGUE TWO,Barrow,Stockport County,ROUND 24,3.3,3.2,2.3,1.44,2.63,1.07,9.0,1.36,3.0,2.2,1.65,4.0,1.22,9.0,1.07,1.83,1.83,3.1,1.35,1.63,2.25,8.5,7.0,10.0,21.0,9.0,6.0,9.5,19.0,15.0,12.0,15.0,29.0,34.0,29.0,41.0,51.0,301.0
