League,N1,N2,N3
ARGENTINA - COPA DE LA LIGA PROFESIONAL,Under05,Over05,Over05
COLOMBIA - PRIMERA A,Over05,Over05,Over05
EGYPT - PREMIER LEAGUE,Over05,Over05,Over05
INDIA - I-LEAGUE,Over05,Over05,Over05
INDIA - ISL,Over05,Over05,Over05
IRAQ - SUPER LEAGUE,Over05,Over05,Over05
ITALY - SERIE C,Over05,Over05,Over05
MEXICO - LIGA MX,Over05,Over05,Over05
MOROCCO - BOTOLA PRO,Over05,Over05,Over05
PERU - LIGA 1,Over05,Over05,Over05
SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Over05,Over05,Over05
SOUTH AMERICA - COPA LIBERTADORES,Over05,Over05,Over05
THAILAND - THAI LEAGUE 1,Over05,Over05,Over05
