League,N1,N2,N3
Argentina Prim B Nacional,Under15,Under15,Under15
Argentina Primera División,Under15,Over15,Over15
Australia A-League,Over15,Over15,Under15
Austria Bundesliga,Under15,Under15,Under15
Belgium Pro League,Over15,Over15,Over15
Bolivia LFPB,Under15,Under15,Under15
Brazil Serie A,Over15,Over15,Under15
Brazil Serie B,Under15,Under15,Under15
Brazil Serie C,Under15,Over15,Under15
Brazil Serie D,Over15,Under15,Under15
Bulgaria First League,Under15,Over15,Under15
Canada Canadian Premier League,Under15,Over15,Over15
Chile Primera B,Over15,Over15,Under15
Chile Primera División,Over15,Under15,Under15
Chile Segunda División,Under15,Under15,Over15
China Chinese Super League,Under15,Under15,Under15
Colombia Categoria Primera A,Under15,Under15,Under15
Colombia Categoria Primera B,Over15,Over15,Under15
Croatia Prva HNL,Over15,Under15,Over15
Czech Republic First League,Under15,Over15,Over15
Denmark 1st Division,Over15,Over15,Under15
Denmark Superliga,Over15,Over15,Over15
Ecuador Primera Categoría Serie A,Under15,Over15,Under15
Egypt Egyptian Premier League,Over15,Over15,Over15
England Championship,Over15,Under15,Under15
England EFL League One,Under15,Under15,Over15
England EFL League Two,Over15,Over15,Under15
England National League,Under15,Over15,Over15
England Premier League,Under15,Over15,Under15
Finland Veikkausliiga,Over15,Over15,Over15
France Ligue 1,Over15,Under15,Over15
France Ligue 2,Over15,Under15,Under15
Germany 2. Bundesliga,Under15,Over15,Under15
Germany Bundesliga,Under15,Over15,Over15
Greece Super League,Over15,Under15,Over15
Hungary NB I,Under15,Under15,Under15
Italy Serie A,Over15,Over15,Under15
Italy Serie B,Over15,Under15,Over15
Japan J1 League,Over15,Over15,Under15
Japan J2 League,Over15,Over15,Under15
Mexico Ascenso MX,Over15,Over15,Under15
Mexico Liga MX,Over15,Over15,Over15
Netherlands Eerste Divisie,Under15,Under15,Under15
Netherlands Eredivisie,Over15,Under15,Under15
Netherlands Tweede Divisie,Under15,Under15,Over15
Norway Eliteserien,Over15,Over15,Over15
Paraguay Division Profesional,Under15,Under15,Under15
Peru Primera División,Over15,Over15,Over15
Poland Ekstraklasa,Over15,Over15,Over15
Portugal Liga NOS,Under15,Over15,Over15
Portugal LigaPro,Under15,Over15,Over15
Republic of Ireland Premier Division,Over15,Under15,Over15
Romania Liga I,Under15,Under15,Under15
Scotland Premiership,Over15,Over15,Over15
Serbia SuperLiga,Under15,Over15,Under15
Slovakia Super Liga,Over15,Over15,Under15
Slovenia PrvaLiga,Over15,Under15,Under15
South Korea K League 1,Over15,Over15,Over15
South Korea K League 2,Under15,Under15,Over15
Spain La Liga,Over15,Over15,Over15
Spain Segunda División,Over15,Under15,Over15
Sweden Allsvenskan,Over15,Over15,Under15
Switzerland Super League,Over15,Under15,Over15
Tunisia Ligue 1,Under15,Over15,Over15
Turkey Süper Lig,Under15,Over15,Over15
USA MLS,Under15,Over15,Over15
USA USL Championship,Over15,Under15,Over15
Ukraine Ukrainian Premier League,Over15,Under15,Under15
Uruguay Primera División,Over15,Over15,Over15
Uruguay Segunda División,Over15,Under15,Over15
Venezuela Primera División,Under15,Over15,Under15
