League,N1,N2,N3
Argentina Prim B Nacional,BTTS_Sim,BTTS_Sim,BTTS_Não
Argentina Primera División,BTTS_Sim,BTTS_Não,BTTS_Sim
Australia A-League,BTTS_Sim,BTTS_Sim,BTTS_Não
Austria Bundesliga,BTTS_Não,BTTS_Não,BTTS_Não
Belgium Pro League,BTTS_Não,BTTS_Não,BTTS_Sim
Bolivia LFPB,BTTS_Sim,BTTS_Não,BTTS_Sim
Brazil Serie A,BTTS_Não,BTTS_Não,BTTS_Sim
Brazil Serie B,BTTS_Sim,BTTS_Sim,BTTS_Não
Brazil Serie C,BTTS_Sim,BTTS_Não,BTTS_Sim
Brazil Serie D,BTTS_Não,BTTS_Não,BTTS_Não
Bulgaria First League,BTTS_Não,BTTS_Sim,BTTS_Não
Canada Canadian Premier League,BTTS_Sim,BTTS_Sim,BTTS_Não
Chile Primera B,BTTS_Não,BTTS_Sim,BTTS_Não
Chile Primera División,BTTS_Sim,BTTS_Sim,BTTS_Não
Chile Segunda División,BTTS_Sim,BTTS_Não,BTTS_Sim
China Chinese Super League,BTTS_Sim,BTTS_Sim,BTTS_Sim
Colombia Categoria Primera A,BTTS_Não,BTTS_Não,BTTS_Não
Colombia Categoria Primera B,BTTS_Sim,BTTS_Sim,BTTS_Sim
Croatia Prva HNL,BTTS_Não,BTTS_Não,BTTS_Sim
Czech Republic First League,BTTS_Sim,BTTS_Não,BTTS_Não
Denmark 1st Division,BTTS_Sim,BTTS_Não,BTTS_Não
Denmark Superliga,BTTS_Não,BTTS_Sim,BTTS_Sim
Ecuador Primera Categoría Serie A,BTTS_Não,BTTS_Não,BTTS_Sim
Egypt Egyptian Premier League,BTTS_Não,BTTS_Sim,BTTS_Sim
England Championship,BTTS_Sim,BTTS_Sim,BTTS_Não
England EFL League One,BTTS_Sim,BTTS_Não,BTTS_Sim
England EFL League Two,BTTS_Não,BTTS_Sim,BTTS_Não
England National League,BTTS_Sim,BTTS_Não,BTTS_Sim
England Premier League,BTTS_Não,BTTS_Não,BTTS_Sim
Finland Veikkausliiga,BTTS_Sim,BTTS_Não,BTTS_Não
France Ligue 1,BTTS_Sim,BTTS_Não,BTTS_Sim
France Ligue 2,BTTS_Não,BTTS_Não,BTTS_Sim
Germany 2. Bundesliga,BTTS_Não,BTTS_Não,BTTS_Sim
Germany Bundesliga,BTTS_Não,BTTS_Sim,BTTS_Sim
Greece Super League,BTTS_Não,BTTS_Sim,BTTS_Sim
Hungary NB I,BTTS_Não,BTTS_Não,BTTS_Não
Italy Serie A,BTTS_Não,BTTS_Sim,BTTS_Sim
Italy Serie B,BTTS_Não,BTTS_Sim,BTTS_Não
Japan J1 League,BTTS_Não,BTTS_Não,BTTS_Não
Japan J2 League,BTTS_Sim,BTTS_Sim,BTTS_Não
Mexico Ascenso MX,BTTS_Não,BTTS_Não,BTTS_Não
Mexico Liga MX,BTTS_Sim,BTTS_Não,BTTS_Não
Netherlands Eerste Divisie,BTTS_Não,BTTS_Não,BTTS_Não
Netherlands Eredivisie,BTTS_Não,BTTS_Sim,BTTS_Não
Netherlands Tweede Divisie,BTTS_Sim,BTTS_Não,BTTS_Sim
Norway Eliteserien,BTTS_Sim,BTTS_Sim,BTTS_Sim
Paraguay Division Profesional,BTTS_Não,BTTS_Não,BTTS_Não
Peru Primera División,BTTS_Não,BTTS_Não,BTTS_Não
Poland Ekstraklasa,BTTS_Não,BTTS_Não,BTTS_Sim
Portugal Liga NOS,BTTS_Sim,BTTS_Não,BTTS_Sim
Portugal LigaPro,BTTS_Não,BTTS_Sim,BTTS_Não
Republic of Ireland Premier Division,BTTS_Sim,BTTS_Sim,BTTS_Não
Romania Liga I,BTTS_Sim,BTTS_Não,BTTS_Não
Scotland Premiership,BTTS_Sim,BTTS_Sim,BTTS_Sim
Serbia SuperLiga,BTTS_Sim,BTTS_Não,BTTS_Não
Slovakia Super Liga,BTTS_Não,BTTS_Sim,BTTS_Não
Slovenia PrvaLiga,BTTS_Sim,BTTS_Não,BTTS_Não
South Korea K League 1,BTTS_Sim,BTTS_Sim,BTTS_Sim
South Korea K League 2,BTTS_Sim,BTTS_Sim,BTTS_Sim
Spain La Liga,BTTS_Não,BTTS_Sim,BTTS_Não
Spain Segunda División,BTTS_Sim,BTTS_Sim,BTTS_Não
Sweden Allsvenskan,BTTS_Não,BTTS_Sim,BTTS_Não
Switzerland Super League,BTTS_Sim,BTTS_Sim,BTTS_Não
Tunisia Ligue 1,BTTS_Não,BTTS_Sim,BTTS_Não
Turkey Süper Lig,BTTS_Sim,BTTS_Sim,BTTS_Não
USA MLS,BTTS_Não,BTTS_Não,BTTS_Sim
USA USL Championship,BTTS_Não,BTTS_Não,BTTS_Não
Ukraine Ukrainian Premier League,BTTS_Sim,BTTS_Não,BTTS_Não
Uruguay Primera División,BTTS_Não,BTTS_Sim,BTTS_Sim
Uruguay Segunda División,BTTS_Não,BTTS_Sim,BTTS_Não
Venezuela Primera División,BTTS_Sim,BTTS_Não,BTTS_Sim
