,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,16/12/2023,04:00,AUSTRALIA - A-LEAGUE,Newcastle Jets,Perth Glory,2.05,3.75,3.4,1.6,1.53,2.38,1.03,1.3,1.2,4.5,1.2
2,16/12/2023,08:00,THAILAND - THAI LEAGUE 1,Khonkaen Utd.,Pathum United,4.55,3.9,1.65,1.57,1.6,2.22,1.04,1.31,1.19,3.85,1.22
3,16/12/2023,09:00,SLOVENIA - PRVA LIGA,Domzale,Bravo,2.27,3.2,3.05,1.98,1.72,2.0,1.07,1.45,1.32,5.6,1.11
4,16/12/2023,09:30,ENGLAND - CHAMPIONSHIP,Ipswich,Norwich,1.57,4.2,5.75,1.53,1.62,2.2,1.03,1.29,1.17,4.0,1.25
5,16/12/2023,10:00,NETHERLANDS - TWEEDE DIVISIE,Kozakken Boys,Scheveningen,2.82,3.45,2.25,1.57,1.5,2.27,1.02,1.29,1.19,3.75,1.19
6,16/12/2023,10:30,NETHERLANDS - TWEEDE DIVISIE,ACV Assen,Excelsior Maassluis,1.75,4.05,3.65,1.47,1.5,2.27,1.01,1.22,1.12,3.3,1.24
7,16/12/2023,11:00,POLAND - EKSTRAKLASA,Puszcza,Jagiellonia,4.0,3.6,1.85,1.7,1.62,2.2,1.04,1.33,1.2,5.0,1.17
13,16/12/2023,12:00,SCOTLAND - LEAGUE ONE,Queen of South,Edinburgh City,1.13,7.0,17.0,1.44,2.25,1.57,1.01,1.22,1.13,3.4,1.3
20,16/12/2023,12:00,ENGLAND - LEAGUE ONE,Bolton,Bristol Rovers,1.62,4.2,5.25,1.75,1.8,1.95,1.04,1.33,1.22,5.5,1.14
19,16/12/2023,12:00,ENGLAND - CHAMPIONSHIP,Swansea,Middlesbrough,3.2,3.5,2.2,1.73,1.57,2.25,1.04,1.33,1.22,5.0,1.17
18,16/12/2023,12:00,ENGLAND - LEAGUE TWO,Newport,Grimsby,2.75,3.2,2.7,1.95,1.73,2.0,1.05,1.4,1.29,6.5,1.11
17,16/12/2023,12:00,ENGLAND - LEAGUE TWO,Crewe,Accrington,2.6,3.5,2.63,1.7,1.57,2.25,1.04,1.33,1.2,5.0,1.17
16,16/12/2023,12:00,ENGLAND - LEAGUE TWO,Crawley,Mansfield,3.8,3.8,1.91,1.6,1.53,2.38,1.03,1.29,1.17,4.33,1.2
12,16/12/2023,12:00,SCOTLAND - LEAGUE ONE,Stirling,Annan,1.85,3.6,4.0,1.75,1.67,2.1,1.02,1.33,1.22,5.0,1.14
11,16/12/2023,12:00,ENGLAND - PREMIER LEAGUE,Manchester City,Crystal Palace,1.18,7.5,13.0,1.53,2.2,1.62,1.03,1.25,1.17,4.0,1.25
10,16/12/2023,12:00,ENGLAND - LEAGUE TWO,Gillingham,Bradford City,2.45,3.3,3.0,2.25,1.83,1.83,1.07,1.44,1.4,9.0,1.07
9,16/12/2023,12:00,ENGLAND - LEAGUE TWO,Doncaster,Morecambe,2.1,3.5,3.5,1.9,1.73,2.0,1.05,1.36,1.25,6.0,1.13
8,16/12/2023,12:00,SCOTLAND - PREMIERSHIP,St Johnstone,Hibernian,3.5,3.3,2.15,2.15,1.95,1.8,1.07,1.44,1.36,8.0,1.08
14,16/12/2023,12:00,SCOTLAND - LEAGUE ONE,Cove Rangers,Alloa,1.73,3.75,4.5,1.8,1.73,2.0,1.04,1.36,1.25,5.0,1.14
15,16/12/2023,12:00,SCOTLAND - CHAMPIONSHIP,Morton,Queen's Park,2.1,3.4,3.0,1.75,1.67,2.1,1.04,1.36,1.22,5.0,1.14
21,16/12/2023,14:00,SWITZERLAND - SUPER LEAGUE,Lausanne Ouchy,Young Boys,3.4,4.0,1.95,1.53,1.53,2.38,1.03,1.29,1.17,4.0,1.22
22,16/12/2023,14:00,SPAIN - PRIMERA RFEF,Real Madrid B,CF Intercity,2.05,3.1,3.4,2.35,2.1,1.67,1.07,1.5,1.44,8.0,1.06
23,16/12/2023,14:30,SERBIA - SUPER LIGA,Partizan,Radnicki 1923,1.29,5.1,9.0,1.65,2.1,1.65,1.04,1.33,1.21,4.25,1.18
24,16/12/2023,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ettifaq,Al Taawon,2.38,3.4,2.75,1.95,1.73,2.0,1.03,1.4,1.29,6.0,1.11
25,16/12/2023,16:00,BELGIUM - CHALLENGER PRO LEAGUE,Beveren,Genk U23,1.57,4.5,5.0,1.53,1.62,2.2,1.03,1.25,1.17,4.0,1.22
26,16/12/2023,16:30,SWITZERLAND - SUPER LEAGUE,Grasshoppers,Yverdon,1.7,4.0,4.75,1.67,1.67,2.1,1.03,1.33,1.2,5.0,1.17
