,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,SOUTH KOREA - K LEAGUE 2,15/08/2023,07:00,Gimcheon Sangmu,Seoul E-Land,1.53,4.0,5.25,1.73,2.08,1.8,1.91,2.0,1.264911,0.888,1.6,1.2,1.0,0.6535948,0.25,0.1904762,0.5780347,0.48076922,0.56411296,0.4,2.465,1,0.6658
2,SOUTH KOREA - K LEAGUE 2,15/08/2023,07:30,Busan,Jeonnam,1.91,3.4,3.6,1.88,1.93,1.73,2.0,1.6,1.2,1.15,1.3,1.4177446,0.664,0.5235602,0.29411766,0.2777778,0.5319149,0.5181347,0.30729696,0.3,2.618,1,0.6892
3,FINLAND - VEIKKAUSLIIGA,15/08/2023,12:00,SJK,KTP,1.4,4.5,6.5,1.73,2.08,1.95,1.8,2.0,1.264911,0.828,0.8,1.1661904,0.909,0.71428573,0.22222222,0.15384616,0.5780347,0.48076922,0.6868675,1.2,2.431,1,0.5088
4,ARGENTINA - PRIMERA NACIONAL,15/08/2023,13:30,Estudiantes Rio Cuarto,Alvarado,2.0,3.2,4.0,2.5,1.5,2.2,1.62,2.3,1.1,0.438,0.8,0.8717798,0.56,0.5,0.3125,0.25,0.4,0.6666667,0.2999423,1.5,1.972,1,0.6911
5,CHILE - PRIMERA DIVISION,15/08/2023,13:30,Nublense,Union La Calera,2.4,3.3,3.0,2.05,1.75,1.8,1.91,1.1,1.3,0.711,1.1,1.0440307,0.641,0.41666666,0.3030303,0.33333334,0.4878049,0.5714286,0.13687983,0.0,2.344,1,0.697
6,ARGENTINA - PRIMERA NACIONAL,15/08/2023,15:00,San Telmo,Agropecuario,3.5,3.0,2.25,2.5,1.5,2.1,1.67,1.6,1.4282857,0.866,0.6,1.2,0.838,0.2857143,0.33333334,0.44444445,0.4,0.6666667,0.18760903,1.0,2.628,1,0.637
7,NORTHERN IRELAND - NIFL PREMIERSHIP,15/08/2023,15:45,Loughgall,Glentoran,6.96,4.6,1.41,1.68,2.18,1.83,1.93,1.9,1.3747727,0.859,1.7,1.3453624,0.584,0.14367816,0.2173913,0.7092199,0.5952381,0.4587156,0.7036457,0.2,2.72,1,0.9573
8,NORTHERN IRELAND - NIFL PREMIERSHIP,15/08/2023,15:45,Newry City,Cliftonville,5.02,4.15,1.59,1.69,2.16,1.69,2.11,0.2,0.4,1.033,1.1,1.3,0.883,0.1992032,0.24096386,0.6289308,0.591716,0.46296296,0.5429392,-0.9,1.7,1,0.9218
9,NORTHERN IRELAND - NIFL PREMIERSHIP,15/08/2023,15:45,Carrick Rangers,Coleraine,4.94,3.92,1.64,1.82,1.98,1.77,2.0,0.8,1.1661904,1.074,0.8,1.1661904,0.841,0.20242915,0.25510204,0.6097561,0.5494506,0.5050505,0.5084387,0.0,2.332,1,0.8201
10,ARGENTINA - PRIMERA NACIONAL,15/08/2023,19:05,Def. de Belgrano,Gimnasia Mendoza,2.25,2.9,3.6,2.7,1.44,2.25,1.57,1.7,1.3453624,0.923,0.8,0.8717798,1.099,0.44444445,0.3448276,0.2777778,0.37037036,0.6944444,0.19251119,0.9,2.217,1,0.5284
11,ARGENTINA - PRIMERA NACIONAL,15/08/2023,20:00,Temperley,Guillermo Brown,2.05,3.2,3.75,2.4,1.53,2.1,1.67,1.9,1.1357816,0.654,0.9,1.1357816,0.862,0.4878049,0.3125,0.26666668,0.41666666,0.6535948,0.26794776,1.0,2.272,1,0.5118
12,ARGENTINA - PRIMERA NACIONAL,15/08/2023,20:00,All Boys,Flandria,2.1,3.4,3.4,2.4,1.53,2.1,1.67,1.5,1.2845232,1.001,0.3,0.9,0.931,0.47619048,0.29411766,0.29411766,0.41666666,0.6535948,0.24190494,1.2,2.185,1,0.5143
13,BRAZIL - SERIE A,15/08/2023,20:00,Athletico-PR,Cuiaba,1.83,3.5,4.5,2.38,1.57,2.2,1.62,2.2,1.2489996,0.608,1.3,1.4177446,0.84,0.5464481,0.2857143,0.22222222,0.42016807,0.6369427,0.3991665,0.9,2.667,1,0.5147
14,MEXICO - LIGA DE EXPANSION MX,15/08/2023,22:05,Alebrijes Oaxaca,Celaya,2.46,3.3,2.74,2.03,1.78,1.75,2.03,1.6,1.4282857,0.989,1.4,1.356466,0.753,0.40650406,0.3030303,0.3649635,0.49261084,0.56179774,0.11870353,0.2,2.785,1,0.7655
