Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,NIGERIA - NPFL,15/05/2024,12:00,Abia Warriors,Rivers United,1.65,3.25,5.8
2,EGYPT - PREMIER LEAGUE,15/05/2024,13:00,Pyramids,Ceramica Cleopatra,1.75,3.3,4.7
3,SOUTH AMERICA - COPA LIBERTADORES,15/05/2024,19:00,The Strongest (Bol),Huachipato (Chi),1.3,5.25,11.0
4,SOUTH AMERICA - COPA SUDAMERICANA,15/05/2024,19:00,Belgrano (Arg),Tomayapo (Bol),1.14,7.0,23.0
5,SOUTH AMERICA - COPA SUDAMERICANA,15/05/2024,19:00,Athletico-PR (Bra),Danubio (Uru),1.25,5.5,12.0
6,SOUTH AMERICA - COPA SUDAMERICANA,15/05/2024,19:00,Lanus (Arg),Metropolitanos (Ven),1.1,9.0,29.0
7,USA - MLS,15/05/2024,20:30,Philadelphia Union,New York City,1.9,3.7,3.9
8,SOUTH AMERICA - COPA SUDAMERICANA,15/05/2024,21:00,Cuiaba (Bra),Deportivo Garcilaso (Per),1.3,5.5,9.0
9,SOUTH AMERICA - COPA LIBERTADORES,15/05/2024,21:30,Palmeiras (Bra),Ind. del Valle (Ecu),1.4,4.75,7.5
