,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,06/10/2023,10:00,THAILAND - THAI LEAGUE 1,Uthai Thani,Port MTI FC,4.3,3.7,1.72,1.62,1.6,2.2,1.04,1.33,1.2,4.1,1.2
2,06/10/2023,13:10,AUSTRIA - 2. LIGA,Horn,Kapfenberg,1.88,3.75,3.55,1.62,1.57,2.25,1.04,1.32,1.2,4.05,1.2
3,06/10/2023,14:30,SWITZERLAND - CHALLENGE LEAGUE,Schaffhausen,Vaduz,2.75,3.65,2.27,1.47,1.4,2.7,1.03,1.26,1.15,3.35,1.28
4,06/10/2023,15:00,NETHERLANDS - EERSTE DIVISIE,Jong PSV,Maastricht,2.05,4.0,3.2,1.48,1.44,2.63,1.02,1.25,1.14,3.75,1.25
5,06/10/2023,15:00,NETHERLANDS - EERSTE DIVISIE,Dordrecht,Cambuur,3.3,4.0,2.0,1.48,1.44,2.63,1.02,1.25,1.14,3.75,1.25
6,06/10/2023,15:00,NETHERLANDS - EERSTE DIVISIE,Jong Ajax,Venlo,2.7,3.8,2.38,1.44,1.4,2.75,1.02,1.22,1.13,3.4,1.3
7,06/10/2023,15:00,NETHERLANDS - EERSTE DIVISIE,Den Bosch,Eindhoven FC,2.8,3.4,2.45,1.83,1.62,2.2,1.04,1.36,1.25,5.5,1.14
8,06/10/2023,15:00,NETHERLANDS - EREDIVISIE,FC Volendam,Utrecht,3.75,4.2,1.83,1.57,1.53,2.38,1.03,1.29,1.17,4.33,1.2
9,06/10/2023,15:45,IRELAND - PREMIER DIVISION,Shelbourne,Dundalk,2.15,3.2,3.2,2.1,1.91,1.91,1.06,1.44,1.33,8.0,1.08
10,06/10/2023,16:00,ENGLAND - CHAMPIONSHIP,Birmingham,West Brom,2.63,3.2,2.75,2.3,1.91,1.8,1.08,1.5,1.44,9.0,1.07
11,06/10/2023,16:15,PORTUGAL - LIGA PORTUGAL,Moreirense,Boavista,2.05,3.3,3.1,1.98,1.75,2.0,1.05,1.4,1.29,6.5,1.11
12,06/10/2023,17:00,VENEZUELA - LIGA FUTVE,Monagas,La Guaira,2.32,3.2,2.87,1.93,1.7,1.91,1.03,1.42,1.31,7.2,1.05
13,06/10/2023,19:00,CHILE - PRIMERA DIVISION,Union La Calera,Huachipato,2.4,3.3,3.0,1.85,1.62,2.2,1.05,1.36,1.25,6.0,1.13
14,06/10/2023,20:30,CANADA - CANADIAN PREMIER LEAGUE,Valour,HFX Wanderers,3.0,3.25,2.35,1.98,1.72,2.0,1.07,1.47,1.32,5.8,1.11
15,06/10/2023,21:30,BRAZIL - SERIE B,Atletico GO,Ituano,1.65,3.5,5.2,2.15,2.1,1.65,1.08,1.5,1.39,6.5,1.08
16,06/10/2023,23:30,CANADA - CANADIAN PREMIER LEAGUE,Vancouver FC,York Utd,3.55,3.6,1.95,1.62,1.53,2.35,1.04,1.33,1.2,4.1,1.21
