Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2529561,Slovenia PrvaLiga,2022/2023,2022-07-15 15:15:00,1,Koper,Tabor Sežana,2,1,1.62,3.84,5.05,1.06,8.0,1.28,3.26,1.91,1.91,3.24,1.29,5.5,1.12,1.92,1.81
2529563,Slovenia PrvaLiga,2022/2023,2022-07-16 12:30:00,1,Domžale,Celje,0,0,2.45,3.3,2.8,1.05,9.0,1.3,3.4,1.93,1.88,3.25,1.33,6.0,1.11,1.73,2.0
2529559,Slovenia PrvaLiga,2022/2023,2022-07-16 15:15:00,1,Maribor,Radomlje,0,3,1.53,4.0,6.0,1.05,9.0,1.33,3.25,1.95,1.85,3.25,1.33,5.5,1.12,2.05,1.7
2529562,Slovenia PrvaLiga,2022/2023,2022-07-17 15:15:00,1,Olimpija,Mura,2,0,2.03,3.5,2.95,1.05,9.0,1.22,4.0,1.68,2.08,2.8,1.4,4.75,1.15,1.67,2.1
2529560,Slovenia PrvaLiga,2022/2023,2022-07-18 15:15:00,1,Gorica,Bravo,2,0,2.9,3.0,2.3,1.02,9.8,1.29,3.24,2.1,1.67,3.26,1.28,7.3,1.06,1.62,2.2
2529564,Slovenia PrvaLiga,2022/2023,2022-07-22 15:15:00,2,Radomlje,Celje,1,1,2.51,3.25,2.41,1.05,13.0,1.26,3.86,1.88,1.84,2.98,1.39,5.63,1.15,1.61,2.2
2529568,Slovenia PrvaLiga,2022/2023,2022-07-23 15:15:00,2,Maribor,Gorica,3,2,1.41,4.1,6.81,1.02,9.6,1.26,3.4,1.85,1.85,3.08,1.31,5.85,1.09,2.2,1.58
2529566,Slovenia PrvaLiga,2022/2023,2022-07-24 12:30:00,2,Tabor Sežana,Olimpija,0,1,3.1,3.25,2.04,1.01,10.5,1.31,3.08,2.02,1.8,3.4,1.26,6.6,1.07,1.86,1.86
2529567,Slovenia PrvaLiga,2022/2023,2022-07-24 12:30:00,2,Bravo,Koper,1,0,3.05,3.25,2.08,1.05,7.6,1.38,2.76,1.99,1.81,4.0,1.2,7.9,1.04,1.96,1.77
2529565,Slovenia PrvaLiga,2022/2023,2022-07-24 15:15:00,2,Mura,Domžale,4,3,1.87,3.6,3.25,1.0,11.0,1.19,4.04,1.65,2.11,2.61,1.42,4.74,1.14,1.62,2.18
2529569,Slovenia PrvaLiga,2022/2023,2022-07-29 15:15:00,3,Gorica,Radomlje,0,1,2.8,3.2,2.3,1.01,10.0,1.24,3.56,1.81,1.81,2.96,1.33,5.5,1.1,1.66,2.11
2529572,Slovenia PrvaLiga,2022/2023,2022-07-30 15:15:00,3,Domžale,Tabor Sežana,1,1,2.09,3.5,3.57,1.03,8.6,1.31,3.08,1.89,1.85,3.4,1.26,6.6,1.07,1.81,1.91
2529571,Slovenia PrvaLiga,2022/2023,2022-07-31 12:30:00,3,Olimpija,Bravo,1,0,1.74,3.5,4.3,1.03,8.9,1.29,3.2,1.91,1.72,3.34,1.27,6.35,1.08,1.86,1.86
2529573,Slovenia PrvaLiga,2022/2023,2022-07-31 15:15:00,3,Celje,Mura,3,3,2.33,3.35,2.75,1.01,10.5,1.25,3.75,1.69,1.95,2.9,1.38,5.2,1.12,1.62,2.2
2529570,Slovenia PrvaLiga,2022/2023,2022-07-31 15:15:00,3,Koper,Maribor,2,1,2.51,3.4,2.51,1.03,8.9,1.3,3.3,1.78,1.85,3.5,1.28,6.3,1.08,1.75,2.0
2529575,Slovenia PrvaLiga,2022/2023,2022-08-05 12:30:00,4,Tabor Sežana,Celje,1,0,2.66,3.18,2.36,1.05,10.25,1.32,3.15,1.94,1.7,3.55,1.26,7.0,1.1,1.71,2.05
2529576,Slovenia PrvaLiga,2022/2023,2022-08-06 12:30:00,4,Bravo,Domžale,0,1,2.35,3.2,2.76,1.03,8.9,1.3,3.3,1.94,1.77,3.5,1.28,6.4,1.07,1.75,2.0
2529574,Slovenia PrvaLiga,2022/2023,2022-08-07 12:30:00,4,Radomlje,Mura,1,1,2.8,3.5,2.3,1.01,10.75,1.21,3.84,1.65,2.2,2.72,1.39,4.9,1.12,1.6,2.22
2529577,Slovenia PrvaLiga,2022/2023,2022-08-07 15:15:00,4,Maribor,Olimpija,0,2,2.25,3.3,3.0,1.01,9.3,1.26,3.34,2.0,1.78,3.08,1.3,5.8,1.09,1.72,2.07
2529578,Slovenia PrvaLiga,2022/2023,2022-08-08 15:15:00,4,Gorica,Koper,1,2,3.8,3.55,1.92,1.03,8.6,1.3,3.08,2.0,1.74,3.34,1.26,6.45,1.06,1.83,1.83
2529582,Slovenia PrvaLiga,2022/2023,2022-08-12 15:15:00,5,Celje,Bravo,1,0,1.81,3.64,4.15,1.04,7.8,1.39,2.93,1.94,1.75,4.03,1.23,7.4,1.05,1.93,1.76
2529583,Slovenia PrvaLiga,2022/2023,2022-08-13 12:30:00,5,Mura,Tabor Sežana,2,2,1.54,3.8,4.8,1.01,9.8,1.26,3.7,1.7,1.94,3.04,1.36,5.58,1.14,1.83,1.85
2529579,Slovenia PrvaLiga,2022/2023,2022-08-13 15:15:00,5,Koper,Radomlje,5,0,1.7,3.75,4.08,1.01,9.5,1.25,3.42,1.82,1.88,3.04,1.31,5.7,1.09,1.83,1.94
2529581,Slovenia PrvaLiga,2022/2023,2022-08-14 15:15:00,5,Domžale,Maribor,3,2,2.8,3.2,2.19,1.06,8.0,1.3,3.4,1.85,1.85,3.25,1.33,6.0,1.11,1.73,2.0
2529580,Slovenia PrvaLiga,2022/2023,2022-08-15 15:15:00,5,Olimpija,Gorica,2,0,1.42,4.5,6.5,1.01,9.8,1.24,3.48,1.8,1.95,2.98,1.32,5.5,1.1,2.08,1.71
2529584,Slovenia PrvaLiga,2022/2023,2022-08-19 15:15:00,6,Radomlje,Tabor Sežana,0,0,1.78,3.35,3.85,1.02,9.2,1.3,3.3,1.94,1.88,3.3,1.3,5.95,1.08,1.8,1.95
2529585,Slovenia PrvaLiga,2022/2023,2022-08-20 12:30:00,6,Bravo,Mura,0,1,3.05,3.15,2.1,1.04,7.9,1.3,3.08,1.98,1.76,3.28,1.27,6.25,1.07,1.74,2.04
